text,label
"This movie was absolutely fantastic, the acting blew me away",positive
"Waste of two hours, terrible plot and wooden acting",negative
"I loved every minute of it, a true masterpiece",positive
"Boring from start to finish, I almost fell asleep",negative
"The cinematography was stunning and the story kept me hooked",positive
"Awful dialogue and the pacing was painfully slow",negative
"A heartwarming film with brilliant performances",positive
"I regret spending money on this disaster",negative
"One of the best films I've seen this year, highly recommend",positive
"The plot made no sense and the ending was disappointing",negative
"Great soundtrack and an engaging storyline throughout",positive
"Poorly written characters with zero development",negative
"This product exceeded my expectations, works perfectly",positive
"Broke after two days, complete waste of money",negative
"Excellent build quality and fast shipping",positive
"Customer service was rude and unhelpful",negative
"Highly satisfied, would buy again without hesitation",positive
"The item arrived damaged and support ignored my emails",negative
"Amazing value for the price, exceeded expectations",positive
"Cheaply made and stopped working within a week",negative
"Best purchase I've made all year, works flawlessly",positive
"Terrible experience, the packaging was crushed and item broken",negative
"Really impressed with the performance and design",positive
"Not worth the hype, very disappointing quality",negative
"Superb acting and a gripping narrative from start to end",positive
"Dull script and uninspired direction throughout",negative
"Fantastic customer support, resolved my issue instantly",positive
"The battery life is abysmal and drains within an hour",negative
"Beautifully shot with an emotional and powerful story",positive
"Completely overpriced for what you actually get",negative
"Loved the characters and the unexpected plot twists",positive
"The instructions were confusing and the product useless",negative
"A joy to watch, laughed and cried throughout",positive
"Extremely slow delivery and poor packaging quality",negative
"Solid performances all around, would watch again",positive
"Disappointing sequel that ruined the original's charm",negative
"Works exactly as described, very happy with this purchase",positive
"The app crashes constantly and support never replies",negative
"An unforgettable experience with a stellar cast",positive
"Cheap materials and terrible stitching, fell apart fast",negative
"Wonderful film with a touching and memorable ending",positive
"Regret buying this, doesn't match the description at all",negative
"Impressive visuals paired with a compelling storyline",positive
"Sluggish performance and constant freezing issues",negative
"A delightful watch for the whole family",positive
"Overhyped and underdelivered on every front",negative
"Top notch quality, exactly what I needed",positive
"The seams ripped after the first wash, very cheap",negative
"Riveting from the first scene to the last",positive
"Frustrating setup process and unreliable connectivity",negative
